label,text
diabetes,Tingling in hands and feet with excessive thirst and frequent urination. This has been going on for 14 weeks now. it fluctuates throughout the day.
Malaria,Recurring fever every two days with shaking chills and body aches. I noticed this around 11 days back.
Typhoid,Persistent fever with body aches chills and no energy to do anything. It's affecting my daily routine. it's moderate in intensity.
Pneumonia,persistent cough with rust-colored sputum fever and shortness of breath. i noticed this around 6 days back.
Varicose veins,my ankles swell by evening and i can see enlarged veins on my thighs. it's moderate in intensity. this has been going on for 14 weeks now.
peptic ulcer disease,Burning stomach pain that gets worse when hungry and better after eating. it comes and goes. It's affecting my daily routine.
Fungal infection,Itchy moist area in skin folds with reddish discoloration. I noticed this around 6 days back. It's affecting my daily routine.
allergy,itchy red welts on skin with swelling and difficulty breathing. it started 6 days ago and hasn't improved. i also feel generally unwell.
Pneumonia,Sharp pain in chest when coughing high temperature and extreme fatigue. I noticed this around 5 days back.
Malaria,Intermittent fever with chills nausea vomiting and muscle pain. it's moderate in intensity. I've been feeling this way for about 3 days. I've been more tired than usual.
Jaundice,Yellow discoloration of skin with itching and clay-colored stools. It's affecting my daily routine. It started 2 days ago and hasn't improved.
Psoriasis,I noticed reddish spots with silvery buildup on my lower back and legs. It started 10 days ago and hasn't improved.
Psoriasis,Burning sensation on scaly red patches near my hairline and behind ears. I've been more tired than usual.
Jaundice,eyes are yellow with upper abdominal pain and general weakness. i had something similar years ago.
Impetigo,Red painful sores that became crusty and are spreading to other areas. I've been feeling this way for about 14 days. it's getting progressively worse.
Chicken pox,clusters of blisters at different stages with extreme itchiness and tiredness. the symptoms are worsening daily. this has been going on for 7 weeks now. i'm quite worried about it.
Arthritis,Swollen painful joints in my hands and knees with reduced range of motion. I've been feeling this way for about 12 days. I had something similar years ago.
Cervical spondylosis,stiff neck with grinding sensation and headaches starting from the back of head. it's mild but persistent. i'm quite worried about it.
Jaundice,My skin and eyes have turned yellow with dark urine and pale stools. I've been feeling this way for about 10 days. I tried home remedies but nothing helps. the symptoms are worsening daily.
Pneumonia,Difficulty breathing with productive cough fever and sharp chest pain. It's affecting my daily routine. I've been feeling this way for about 6 days.
Common Cold,Runny nose sore throat and general feeling of being unwell. the symptoms are worsening daily.
Bronchial Asthma,episodes of difficulty breathing with audible wheeze triggered by allergens. i've been feeling this way for about 4 days.
Hypertension,Frequent dizziness headaches and shortness of breath on exertion. it's mild but persistent. I noticed this around 5 days back.
Fungal infection,Ring-shaped rash on my groin area with burning and peeling skin. It started 6 days ago and hasn't improved.
Typhoid,Persistent fever with body aches chills and no energy to do anything. My family member had similar symptoms. It started 6 days ago and hasn't improved. it comes and goes.
